No,Symbol, StockName,Sector,Currency,Board,ListDate,NoOfShares
10,BAJA,Saranacentral Bajatama Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,21 Des 2011,"1,800,000,000"
11,BRNA,Berlina Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,6-Nov-89,"979,110,000"
12,BRPT,Barito Pacific Tbk.,Basic Industry & Chemicals,USD,UTAMA,01 Okt 1993,"89,016,503,420"
13,BTON,Betonjaya Manunggal Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,18-Jul-01,"720,000,000"
14,CAKK,Cahayaputra Asa Keramik Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,31 Okt 2018,"1,203,300,006"
15,CPIN,Charoen Pokphand Indonesia Tbk,Basic Industry & Chemicals,IDR,UTAMA,18-Mar-91,"16,398,000,000"
16,CPRO,Central Proteina Prima Tbk.,Basic Industry & Chemicals,IDR,UTAMA,28-Nov-06,"59,572,382,787"
17,CTBN,Citra Tubindo Tbk.,Basic Industry & Chemicals,IDR,UTAMA,28-Nov-89,"800,371,500"
18,DPNS,Duta Pertiwi Nusantara Tbk.,Basic Industry & Chemicals,IDR,UTAMA,08 Ags 1990,"331,129,952"
19,EKAD,Ekadharma International Tbk.,Basic Industry & Chemicals,IDR,UTAMA,14 Ags 1990,"698,775,000"
20,ESIP,Sinergi Inti Plastindo Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,14-Nov-19,"640,000,000"
21,ETWA,Eterindo Wahanatama Tbk,Basic Industry & Chemicals,IDR,UTAMA,16 Mei 1997,"968,297,000"
22,FASW,Fajar Surya Wisesa Tbk.,Basic Industry & Chemicals,IDR,UTAMA,19 Des 1994,"2,477,888,787"
23,FPNI,Lotte Chemical Titan Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,21-Mar-02,"5,566,414,000"
24,GDST,Gunawan Dianjaya Steel Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,23 Des 2009,"9,242,500,000"
25,GGRP,Gunung Raja Paksi Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,19-Sep-19,"12,111,376,157"
26,IFII,Indonesia Fibreboard Industry,Basic Industry & Chemicals,IDR,Utama,10 Des 2019,"9,412,000,000"
27,IGAR,Champion Pacific Indonesia Tbk,Basic Industry & Chemicals,IDR,UTAMA,5-Nov-90,"972,204,500"
28,IMPC,Impack Pratama Industri Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,17 Des 2014,"4,833,500,000"
29,INAI,Indal Aluminium Industry Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,05 Des 1994,"633,600,000"
30,INCF,Indo Komoditi Korpora Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,18 Des 1989,"1,438,370,465"
31,INCI,Intanwijaya Internasional Tbk,Basic Industry & Chemicals,IDR,UTAMA,24-Jul-90,"196,121,237"
32,INKP,Indah Kiat Pulp & Paper Tbk.,Basic Industry & Chemicals,USD,Utama,16-Jul-90,"5,470,982,941"
33,INOV,Inocycle Technology Group Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,10-Jul-19,"1,808,221,900"
34,INRU,Toba Pulp Lestari Tbk.,Basic Industry & Chemicals,USD,PENGEMBANGAN,18-Jun-90,"1,388,883,283"
35,INTP,Indocement Tunggal Prakarsa Tb,Basic Industry & Chemicals,IDR,Utama,05 Des 1989,"3,681,231,699"
36,IPOL,Indopoly Swakarsa Industry Tbk,Basic Industry & Chemicals,USD,UTAMA,9-Jul-10,"6,443,379,509"
37,ISSP,Steel Pipe Industry of Indones,Basic Industry & Chemicals,IDR,UTAMA,22-Feb-13,"7,185,992,035"
38,JKSW,Jakarta Kyoei Steel Works Tbk.,Basic Industry & Chemicals,USD,PENGEMBANGAN,06 Ags 1997,"150,000,000"
39,JPFA,Japfa Comfeed Indonesia Tbk.,Basic Industry & Chemicals,IDR,UTAMA,23 Okt 1989,"11,726,575,201"
40,KBRI,Kertas Basuki Rachmat Indonesi,Basic Industry & Chemicals,IDR,PENGEMBANGAN,11-Jul-08,"8,687,995,734"
41,KDSI,Kedawung Setia Industrial Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,29-Jul-96,"405,000,000"
42,KIAS,Keramika Indonesia Assosiasi T,Basic Industry & Chemicals,IDR,PENGEMBANGAN,08 Des 1994,"14,929,100,000"
43,KMTR,Kirana Megatara Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,19-Jun-17,"8,215,366,379"
44,KRAS,Krakatau Steel (Persero) Tbk.,Basic Industry & Chemicals,USD,UTAMA,10-Nov-10,"19,346,396,900"
45,LION,Lion Metal Works Tbk.,Basic Industry & Chemicals,IDR,UTAMA,20 Ags 1993,"520,160,000"
46,LMSH,Lionmesh Prima Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,4-Jun-90,"96,000,000"
47,MAIN,Malindo Feedmill Tbk.,Basic Industry & Chemicals,IDR,UTAMA,10-Feb-06,"2,238,750,000"
48,MARK,Mark Dynamics Indonesia Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,12-Jul-17,"3,800,000,310"
49,MDKI,Emdeki Utama Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,25-Sep-17,"2,530,150,002"
50,MLIA,Mulia Industrindo Tbk,Basic Industry & Chemicals,IDR,PENGEMBANGAN,17-Jan-94,"1,323,000,000"
51,MOLI,Madusari Murni Indah Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,30 Ags 2018,"2,334,888,498"
52,NIKL,Pelat Timah Nusantara Tbk.,Basic Industry & Chemicals,IDR,UTAMA,14 Des 2009,"2,523,350,000"
53,PBID,Panca Budi Idaman Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,13 Des 2017,"1,875,000,000"
54,PICO,Pelangi Indah Canindo Tbk,Basic Industry & Chemicals,IDR,Pengembangan,23-Sep-96,"568,375,000"
55,PURE,Trinitan Metals and Minerals T,Basic Industry & Chemicals,IDR,Utama,09 Okt 2019,"1,333,333,500"
56,SINI,Singaraja Putra Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,8-Nov-19,"450,000,000"
57,SIPD,Sierad Produce Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,27 Des 1996,"1,339,102,579"
58,SMBR,Semen Baturaja (Persero) Tbk.,Basic Industry & Chemicals,IDR,Utama,28-Jun-13,"9,932,534,336"
59,SMCB,Solusi Bangun Indonesia Tbk.,Basic Industry & Chemicals,IDR,UTAMA,10 Ags 1977,"7,662,900,000"
60,SMGR,Semen Indonesia (Persero) Tbk.,Basic Industry & Chemicals,IDR,UTAMA,8-Jul-91,"5,931,520,000"
61,SMKL,Satyamitra Kemas Lestari Tbk.,Basic Industry & Chemicals,IDR,UTAMA,11-Jul-19,"3,400,000,005"
62,SPMA,Suparma Tbk.,Basic Industry & Chemicals,IDR,UTAMA,16-Nov-94,"2,114,570,958"
63,SRSN,Indo Acidatama Tbk,Basic Industry & Chemicals,IDR,UTAMA,11-Jan-93,"6,020,000,000"
64,SULI,SLJ Global Tbk.,Basic Industry & Chemicals,IDR,Utama,21-Mar-94,"3,986,916,802"
65,SWAT,Sriwahana Adityakarta Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,8-Jun-18,"3,019,200,000"
66,TALF,Tunas Alfin Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,17-Jan-14,"1,353,435,000"
67,TBMS,Tembaga Mulia Semanan Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,23 Mei 1990,"367,340,000"
68,TDPM,Tridomain Performance Material,Basic Industry & Chemicals,IDR,UTAMA,9-Apr-18,"10,485,050,500"
69,TIRT,Tirta Mahakam Resources Tbk,Basic Industry & Chemicals,IDR,UTAMA,13 Des 1999,"1,011,774,750"
70,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Industry & Chemicals,USD,Utama,3-Apr-90,"3,113,223,570"
71,TOTO,Surya Toto Indonesia Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,30 Okt 1990,"10,320,000,000"
72,TPIA,Chandra Asri Petrochemical Tbk,Basic Industry & Chemicals,USD,Pengembangan,24-Jun-96,"17,833,520,260"
73,TRST,Trias Sentosa Tbk.,Basic Industry & Chemicals,IDR,UTAMA,2-Jul-90,"2,808,000,000"
74,UNIC,Unggul Indah Cahaya Tbk.,Basic Industry & Chemicals,IDR,UTAMA,6-Nov-89,"383,331,363"
75,WSBP,Waskita Beton Precast Tbk.,Basic Industry & Chemicals,IDR,Utama,20-Sep-16,"26,361,157,534"
76,WTON,Wijaya Karya Beton Tbk.,Basic Industry & Chemicals,IDR,UTAMA,8-Apr-14,"8,715,466,600"
77,YPAS,Yanaprima Hastapersada Tbk,Basic Industry & Chemicals,IDR,Pengembangan,5-Mar-08,"668,000,089"
1,ADES,Akasha Wira International Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,13-Jun-94,"589,896,800"
2,AISA,Tiga Pilar Sejahtera Food Tbk.,Consumer Goods Industry,USD,Utama,11-Jun-97,"3,218,600,000"
3,ALTO,Tri Banyan Tirta Tbk.,Consumer Goods Industry,IDR,UTAMA,10-Jul-12,"2,191,870,558"
4,BTEK,Bumi Teknokultura Unggul Tbk,Consumer Goods Industry,IDR,PENGEMBANGAN,14 Mei 2004,"46,277,496,376"
5,BUDI,Budi Starch & Sweetener Tbk.,Consumer Goods Industry,IDR,UTAMA,08 Mei 1995,"4,498,997,362"
6,CAMP,Campina Ice Cream Industry Tbk,Consumer Goods Industry,IDR,PENGEMBANGAN,19 Des 2017,"5,885,000,000"
7,CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Goods Industry,IDR,Utama,9-Jul-96,"595,000,000"
8,CINT,Chitose Internasional Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,27-Jun-14,"1,000,000,000"
9,CLEO,Sariguna Primatirta Tbk.,Consumer Goods Industry,IDR,UTAMA,05 Mei 2017,"12,000,000,000"
10,COCO,Wahana Interfood Nusantara Tbk,Consumer Goods Industry,IDR,PENGEMBANGAN,20-Mar-19,"560,242,205"
11,DLTA,Delta Djakarta Tbk.,Consumer Goods Industry,IDR,UTAMA,12-Feb-84,"800,659,050"
12,DMND,Diamond Food Indonesia Tbk.,Consumer Goods Industry,IDR,Utama,22-Jan-20,"9,468,359,000"
13,DVLA,Darya-Varia Laboratoria Tbk.,Consumer Goods Industry,IDR,UTAMA,11-Nov-94,"1,120,000,000"
14,FOOD,Sentra Food Indonesia Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,8-Jan-19,"650,000,000"
15,GGRM,Gudang Garam Tbk.,Consumer Goods Industry,IDR,Utama,27 Ags 1990,"1,924,088,000"
16,GOOD,Garudafood Putra Putri Jaya Tb,Consumer Goods Industry,IDR,UTAMA,10 Okt 2018,"7,379,580,291"
17,HMSP,H.M. Sampoerna Tbk.,Consumer Goods Industry,IDR,UTAMA,15 Ags 1990,"116,318,076,900"
18,HOKI,Buyung Poetra Sembada Tbk.,Consumer Goods Industry,IDR,UTAMA,22-Jun-17,"2,378,407,400"
19,HRTA,Hartadinata Abadi Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,21-Jun-17,"4,605,262,400"
20,ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Goods Industry,IDR,UTAMA,07 Okt 2010,"11,661,908,000"
21,IIKP,Inti Agri Resources Tbk,Consumer Goods Industry,IDR,PENGEMBANGAN,20 Okt 2002,"33,600,000,000"
22,INAF,Indofarma (Persero) Tbk.,Consumer Goods Industry,IDR,Utama,17-Apr-01,"3,099,267,500"
23,INDF,Indofood Sukses Makmur Tbk.,Consumer Goods Industry,IDR,UTAMA,14-Jul-94,"8,780,426,500"
24,ITIC,Indonesian Tobacco Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,4-Jul-19,"940,720,000"
25,KAEF,Kimia Farma (Persero) Tbk.,Consumer Goods Industry,IDR,UTAMA,4-Jul-01,"5,554,000,000"
26,KEJU,Mulia Boga Raya Tbk.,Consumer Goods Industry,IDR,Pengembangan,25-Nov-19,"1,500,000,000"
27,KICI,Kedaung Indah Can Tbk,Consumer Goods Industry,IDR,UTAMA,28 Okt 1993,"276,000,000"
28,KINO,Kino Indonesia Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,11 Des 2015,"1,428,571,500"
29,KLBF,Kalbe Farma Tbk.,Consumer Goods Industry,IDR,UTAMA,30-Jul-91,"46,875,122,110"
30,KPAS,Cottonindo Ariesta Tbk.,Consumer Goods Industry,IDR,Pengembangan,05 Okt 2018,"768,042,782"
31,LMPI,Langgeng Makmur Industri Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,17 Okt 1994,"1,008,517,669"
32,MBTO,Martina Berto Tbk.,Consumer Goods Industry,IDR,Utama,13-Jan-11,"1,070,000,000"
33,MERK,Merck Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,23-Jul-81,"448,000,000"
34,MGNA,Magna Investama Mandiri Tbk.,Consumer Goods Industry,IDR,Pengembangan,7-Jul-14,"1,003,080,977"
35,MLBI,Multi Bintang Indonesia Tbk.,Consumer Goods Industry,IDR,UTAMA,17-Jan-94,"2,107,000,000"
36,MRAT,Mustika Ratu Tbk.,Consumer Goods Industry,IDR,UTAMA,27-Jul-95,"428,000,000"
37,MYOR,Mayora Indah Tbk.,Consumer Goods Industry,IDR,UTAMA,4-Jul-90,"22,358,699,725"
38,PANI,Pratama Abadi Nusa Industri Tb,Consumer Goods Industry,IDR,PENGEMBANGAN,18-Sep-18,"410,000,000"
39,PCAR,Prima Cakrawala Abadi Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,29 Des 2017,"1,166,666,700"
40,PEHA,Phapros Tbk.,Consumer Goods Industry,IDR,,1-Jan-11,"840,000,000"
41,PSDN,Prasidha Aneka Niaga Tbk,Consumer Goods Industry,IDR,PENGEMBANGAN,18 Okt 1994,"1,440,000,000"
42,PSGO,Palma Serasih Tbk.,Consumer Goods Industry,IDR,Pengembangan,25-Nov-19,"18,850,000,000"
43,PYFA,Pyridam Farma Tbk,Consumer Goods Industry,IDR,Pengembangan,16 Okt 2001,"535,080,000"
44,RMBA,Bentoel Internasional Investam,Consumer Goods Industry,IDR,UTAMA,5-Mar-90,"36,401,136,250"
45,ROTI,Nippon Indosari Corpindo Tbk.,Consumer Goods Industry,IDR,Utama,28-Jun-10,"6,186,488,888"
46,SCPI,Merck Sharp Dohme Pharma Tbk.,Consumer Goods Industry,USD,Pengembangan,8-Jun-90,"3,600,000"
47,SIDO,Industri Jamu dan Farmasi Sido,Consumer Goods Industry,IDR,Utama,18 Des 2013,"15,000,000,000"
48,SKBM,Sekar Bumi Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,5-Jan-93,"1,726,003,217"
49,SKLT,Sekar Laut Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,8-Sep-93,"690,740,500"
50,STTP,Siantar Top Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,16 Des 1996,"1,310,000,000"
51,TBLA,Tunas Baru Lampung Tbk.,Consumer Goods Industry,IDR,Utama,14-Feb-00,"5,342,098,939"
52,TCID,Mandom Indonesia Tbk.,Consumer Goods Industry,IDR,UTAMA,30-Sep-93,"201,066,667"
53,TSPC,Tempo Scan Pacific Tbk.,Consumer Goods Industry,IDR,UTAMA,17-Jun-94,"4,500,000,000"
54,ULTJ,Ultra Jaya Milk Industry & Tra,Consumer Goods Industry,IDR,UTAMA,2-Jul-90,"11,553,528,000"
55,UNVR,Unilever Indonesia Tbk.,Consumer Goods Industry,IDR,UTAMA,11-Jan-82,"38,150,000,000"
56,WIIM,Wismilak Inti Makmur Tbk.,Consumer Goods Industry,IDR,UTAMA,18 Des 2012,"2,099,873,760"
57,WOOD,Integra Indocabinet Tbk.,Consumer Goods Industry,IDR,PENGEMBANGAN,21-Jun-17,"6,306,250,000"
1,ABDA,Asuransi Bina Dana Arta Tbk.,Finance,IDR,Pengembangan,6-Jul-89,"620,806,680"
2,ADMF,Adira Dinamika Multi Finance T,Finance,IDR,Utama,31-Mar-04,"1,000,000,000"
3,AGRO,Bank Rakyat Indonesia Agroniag,Finance,IDR,UTAMA,08 Ags 2003,"21,129,857,328"
4,AGRS,Bank IBK Indonesia Tbk.,Finance,IDR,Pengembangan,22 Des 2014,"7,037,266,148"
5,AHAP,Asuransi Harta Aman Pratama Tb,Finance,IDR,PENGEMBANGAN,14-Sep-90,"2,940,000,000"
6,AMAG,Asuransi Multi Artha Guna Tbk.,Finance,IDR,PENGEMBANGAN,23 Des 2005,"5,001,552,516"
7,AMAR,Bank Amar Indonesia Tbk.,Finance,IDR,Pengembangan,9-Jan-20,"7,954,749,000"
8,AMOR,Ashmore Asset Management Indon,Finance,IDR,Pengembangan,14-Jan-20,"1,111,111,200"
9,APIC,Pacific Strategic Financial Tb,Finance,IDR,PENGEMBANGAN,18 Des 2002,"11,766,313,488"
10,ARTO,Bank Artos Indonesia Tbk.,Finance,IDR,PENGEMBANGAN,12-Jan-16,"1,194,187,500"
11,ASBI,Asuransi Bintang Tbk.,Finance,IDR,PENGEMBANGAN,29-Nov-89,"348,386,472"
12,ASDM,Asuransi Dayin Mitra Tbk.,Finance,IDR,PENGEMBANGAN,15 Des 1989,"192,000,000"
13,ASJT,Asuransi Jasa Tania Tbk.,Finance,IDR,Pengembangan,29 Des 2003,"600,000,000"
14,ASMI,Asuransi Kresna Mitra Tbk.,Finance,IDR,Utama,16-Jan-14,"8,958,380,460"
15,ASRM,Asuransi Ramayana Tbk.,Finance,IDR,PENGEMBANGAN,19-Mar-90,"234,064,634"
16,BABP,Bank MNC Internasional Tbk.,Finance,IDR,PENGEMBANGAN,15-Jul-02,"25,061,669,637"
17,BACA,Bank Capital Indonesia Tbk.,Finance,IDR,PENGEMBANGAN,04 Okt 2007,"6,999,771,107"
18,BBCA,Bank Central Asia Tbk.,Finance,IDR,UTAMA,31 Mei 2000,"24,408,459,900"
19,BBHI,Bank Harda Internasional Tbk.,Finance,IDR,PENGEMBANGAN,12 Ags 2015,"4,142,587,477"
20,BBKP,Bank Bukopin Tbk.,Finance,IDR,Utama,10-Jul-06,"11,535,389,661"
21,BBLD,Buana Finance Tbk.,Finance,IDR,PENGEMBANGAN,07 Mei 1990,"1,645,796,054"
22,BBMD,Bank Mestika Dharma Tbk.,Finance,IDR,UTAMA,8-Jul-13,"4,049,189,100"
23,BBNI,Bank Negara Indonesia (Persero,Finance,IDR,UTAMA,25-Nov-96,"18,462,169,893"
24,BBRI,Bank Rakyat Indonesia (Persero,Finance,IDR,Utama,10-Nov-03,"122,112,351,900"
25,BBTN,Bank Tabungan Negara (Persero),Finance,IDR,Utama,17 Des 2009,"10,484,100,000"
26,BBYB,Bank Yudha Bhakti Tbk.,Finance,IDR,UTAMA,13-Jan-15,"6,100,164,280"
27,BCAP,MNC Kapital Indonesia Tbk.,Finance,IDR,Utama,8-Jun-01,"38,906,368,927"
28,BCIC,Bank JTrust Indonesia Tbk.,Finance,USD,Pengembangan,25-Jun-97,"9,912,003,256"
29,BDMN,Bank Danamon Indonesia Tbk.,Finance,IDR,UTAMA,06 Des 1989,"9,675,817,341"
30,BEKS,Bank Pembangunan Daerah Banten,Finance,IDR,PENGEMBANGAN,13-Jul-01,"63,468,336,053"
31,BFIN,BFI Finance Indonesia Tbk.,Finance,IDR,PENGEMBANGAN,16 Mei 1990,"15,967,115,620"
32,BGTG,Bank Ganesha Tbk.,Finance,IDR,PENGEMBANGAN,12 Mei 2016,"11,063,309,400"
33,BINA,Bank Ina Perdana Tbk.,Finance,IDR,Utama,16-Jan-14,"5,597,831,250"
34,BJBR,Bank Pembangunan Daerah Jawa B,Finance,IDR,Utama,8-Jul-10,"9,740,399,289"
35,BJTM,Bank Pembangunan Daerah Jawa T,Finance,IDR,UTAMA,12-Jul-12,"14,852,553,796"
36,BKSW,Bank QNB Indonesia Tbk.,Finance,IDR,Pengembangan,21-Nov-02,"20,232,319,124"
37,BMAS,Bank Maspion Indonesia Tbk.,Finance,IDR,PENGEMBANGAN,11-Jul-13,"4,399,026,922"
38,BMRI,Bank Mandiri (Persero) Tbk.,Finance,IDR,Utama,14-Jul-03,"46,199,999,998"
39,BNBA,Bank Bumi Arta Tbk.,Finance,IDR,PENGEMBANGAN,1-Jun-06,"2,286,900,000"
40,BNGA,Bank CIMB Niaga Tbk.,Finance,IDR,Utama,29-Nov-89,"24,880,290,775"
41,BNII,Bank Maybank Indonesia Tbk.,Finance,IDR,Utama,21-Nov-89,"75,357,433,911"
42,BNLI,Bank Permata Tbk.,Finance,IDR,UTAMA,15-Jan-90,"27,762,311,813"
43,BPFI,Batavia Prosperindo Finance Tb,Finance,IDR,PENGEMBANGAN,1-Jun-09,"1,782,663,575"
44,BPII,Batavia Prosperindo Internasio,Finance,IDR,PENGEMBANGAN,8-Jul-14,"562,224,662"
45,BRIS,Bank BRIsyariah Tbk.,Finance,IDR,UTAMA,1-Jan-11,"9,618,952,363"
46,BSIM,Bank Sinarmas Tbk.,Finance,IDR,UTAMA,13 Des 2010,"16,783,894,926"
47,BSWD,Bank Of India Indonesia Tbk.,Finance,USD,Pengembangan,01 Mei 2002,"1,374,912,000"
48,BTPN,Bank BTPN Tbk.,Finance,IDR,Utama,12-Mar-08,"8,065,879,461"
49,BTPS,Bank Tabungan Pensiunan Nasion,Finance,IDR,Utama,08 Mei 2018,"7,626,663,000"
50,BVIC,Bank Victoria International Tb,Finance,IDR,Utama,30-Jun-99,"8,862,427,568"
51,CASA,Capital Financial Indonesia Tb,Finance,IDR,PENGEMBANGAN,19-Jul-16,"54,476,241,442"
52,CFIN,Clipan Finance Indonesia Tbk.,Finance,IDR,UTAMA,02 Okt 1990,"3,984,520,457"
53,DEFI,Danasupra Erapacific Tbk.,Finance,IDR,PENGEMBANGAN,6-Jul-01,"687,266,666"
54,DNAR,Bank Oke Indonesia Tbk.,Finance,IDR,Utama,11-Jul-14,"8,787,562,275"
55,FINN,First Indo American Leasing Tb,Finance,IDR,PENGEMBANGAN,8-Jun-17,"1,860,225,000"
56,FUJI,Fuji Finance Indonesia Tbk.,Finance,IDR,PENGEMBANGAN,9-Jul-19,"1,105,000,000"
57,GSMF,Equity Development Investment,Finance,IDR,PENGEMBANGAN,13 Okt 1989,"7,454,723,337"
58,HDFA,Radana Bhaskara Finance Tbk.,Finance,IDR,UTAMA,10 Mei 2011,"6,096,972,783"
59,IBFN,Intan Baruprana Finance Tbk.,Finance,IDR,PENGEMBANGAN,22 Des 2014,"1,517,321,249"
60,IMJS,Indomobil Multi Jasa Tbk.,Finance,IDR,UTAMA,10 Des 2013,"5,769,550,000"
61,INPC,Bank Artha Graha Internasional,Finance,IDR,UTAMA,29 Ags 1990,"15,638,233,267"
62,JMAS,Asuransi Jiwa Syariah Jasa Mit,Finance,IDR,Pengembangan,18 Des 2017,"1,000,000,000"
63,LIFE,Asuransi Jiwa Sinarmas MSIG Tb,Finance,IDR,UTAMA,9-Jul-19,"2,100,000,000"
64,LPGI,Lippo General Insurance Tbk.,Finance,IDR,UTAMA,22-Jul-97,"150,000,000"
65,LPPS,Lippo Securities Tbk.,Finance,IDR,PENGEMBANGAN,28-Mar-94,"2,588,250,000"
66,MAYA,Bank Mayapada Internasional Tb,Finance,IDR,Utama,29 Ags 1997,"6,764,086,593"
67,MCOR,Bank China Construction Bank I,Finance,IDR,UTAMA,3-Jul-07,"16,465,148,150"
68,MEGA,Bank Mega Tbk.,Finance,IDR,UTAMA,17-Apr-00,"6,894,138,227"
69,MFIN,Mandala Multifinance Tbk.,Finance,IDR,Pengembangan,6-Sep-05,"2,650,000,000"
70,MREI,Maskapai Reasuransi Indonesia,Finance,IDR,PENGEMBANGAN,4-Sep-89,"517,791,681"
71,MTWI,Malacca Trust Wuwungan Insuran,Finance,IDR,PENGEMBANGAN,11 Okt 2017,"1,525,819,116"
72,NISP,Bank OCBC NISP Tbk.,Finance,IDR,UTAMA,20 Okt 1994,"22,715,776,032"
73,NOBU,Bank Nationalnobu Tbk.,Finance,IDR,UTAMA,20 Mei 2013,"4,393,533,177"
74,PADI,Minna Padi Investama Sekuritas,Finance,IDR,Utama,9-Jan-12,"11,307,246,524"
75,PANS,Panin Sekuritas Tbk.,Finance,IDR,UTAMA,31 Des 2000,"720,000,000"
76,PNBN,Bank Pan Indonesia Tbk,Finance,IDR,Utama,29 Des 1982,"23,837,645,998"
77,PNBS,Bank Panin Dubai Syariah Tbk.,Finance,IDR,UTAMA,15-Jan-14,"23,719,447,472"
78,PNIN,Paninvest Tbk.,Finance,IDR,UTAMA,20-Sep-83,"4,068,323,920"
79,PNLF,Panin Financial Tbk.,Finance,IDR,UTAMA,14-Jun-93,"32,022,073,293"
80,POLA,Pool Advista Finance Tbk.,Finance,IDR,PENGEMBANGAN,16-Nov-18,"2,727,886,300"
81,RELI,Reliance Sekuritas Indonesia T,Finance,IDR,UTAMA,13-Jul-05,"1,800,000,000"
82,SDRA,Bank Woori Saudara Indonesia 1,Finance,IDR,UTAMA,15 Des 2006,"6,515,116,991"
83,SMMA,Sinarmas Multiartha Tbk.,Finance,IDR,Utama,5-Jul-95,"6,367,664,717"
84,TIFA,Tifa Finance Tbk.,Finance,IDR,Pengembangan,8-Jul-11,"1,079,700,000"
85,TRIM,Trimegah Sekuritas Indonesia T,Finance,IDR,UTAMA,31-Jan-00,"7,109,300,000"
86,TRUS,Trust Finance Indonesia Tbk,Finance,IDR,PENGEMBANGAN,28-Nov-02,"800,000,000"
87,TUGU,Asuransi Tugu Pratama Indonesi,Finance,IDR,Pengembangan,28 Mei 2018,"1,777,777,800"
88,VICO,Victoria Investama Tbk.,Finance,IDR,Utama,8-Jul-13,"9,150,094,680"
89,VINS,Victoria Insurance Tbk.,Finance,IDR,PENGEMBANGAN,28-Sep-15,"1,456,606,201"
90,VRNA,Verena Multi Finance Tbk.,Finance,IDR,Pengembangan,25-Jun-08,"5,687,353,997"
91,WOMF,Wahana Ottomitra Multiartha Tb,Finance,IDR,UTAMA,13 Des 2004,"3,481,481,480"
92,YULE,Yulie Sekuritas Indonesia Tbk.,Finance,IDR,PENGEMBANGAN,10 Des 2004,"1,785,000,000"
1,AKSI,Maming Enam Sembilan Mineral T,Infrastructure Utilities & Transportation,IDR,Pengembangan,13-Jul-01,"720,000,000"
2,APOL,Arpeni Pratama Ocean Line Tbk.,Infrastructure Utilities & Transportation,IDR,UTAMA,22-Jun-05,"16,452,282,461"
3,ASSA,Adi Sarana Armada Tbk.,Infrastructure Utilities & Transportation,IDR,UTAMA,12-Nov-12,"3,397,500,000"
4,BALI,Bali Towerindo Sentra Tbk.,Infrastructure Utilities & Transportation,IDR,Pengembangan,13-Mar-14,"3,934,592,500"
5,BBRM,Pelayaran Nasional Bina Buana,Infrastructure Utilities & Transportation,IDR,Utama,9-Jan-13,"5,367,076,248"
6,BIRD,Blue Bird Tbk.,Infrastructure Utilities & Transportation,IDR,UTAMA,5-Nov-14,"2,502,100,000"
7,BLTA,Berlian Laju Tanker Tbk,Infrastructure Utilities & Transportation,IDR,UTAMA,26-Mar-90,"25,940,187,103"
8,BPTR,Batavia Prosperindo Trans Tbk.,Infrastructure Utilities & Transportation,IDR,UTAMA,9-Jul-18,"1,550,000,000"
9,BTEL,Bakrie Telecom Tbk.,Infrastructure Utilities & Transportation,IDR,UTAMA,3-Feb-06,"36,822,665,755"
10,BUKK,Bukaka Teknik Utama Tbk.,Infrastructure Utilities & Transportation,IDR,Pengembangan,9-Jan-95,"2,640,452,000"
